keyword,year,month
multi-surface interaction,2012,April
suggesting toughening current recommendations,2016,March
System-level design,2013,August
Statistical Machine Learning,2011,01
error correction,2013,January
schema,2012,September
schema,2012,May
schema,2012,March
player,2011,October
Human tissues permittivity,2011,March
layer enabled network node,2013,04
radio,2012,October
memory hierarchy,2013,
noising methods,2012,April
noising methods,2013,
accurate microscopic modelling,2014,April
Probabilistic modelling,2013,September
Photons intriques,2011,July
pairwise comparison method,2013,June
pairwise comparison method,2013,06
pairwise comparison method,2012,July
supervised learning,2013,
Immersive Virtual Reality,2011,September
model-based engineering,2011,June
model-based engineering,2011,September
Nonverbal Behavior,2015,August
precise timing analysis,2014,October
slow fading wireless channels,2012,05
conditional random fields,2013,08
Analytical Model,2014,July
two approaches,2011,August
based cognitive radio network,2015,August
Low Dose X-ray imaging,2016,02
maximum bufferbloat possibly exceeds,2014,
sparse user sketches,2011,10
Multiple faults,2015,January
error exponents,2013,02
error exponents,2014,12
error exponents,2014,July
error exponents,2013,12
error exponents,2013,July
error exponents,2010,March
error exponents,2010,02
error exponents,2013,March
error exponents,2013,02
poisson point process,2013,
web:,2011,11
de,2012,
de,2013,September
de,2014,July
quantum wells appl,2014,
unlike previous works,2011,May
Exponentially damped sinusoids,2011,May
scoring multivariate observations depending,2013,01
open information extraction approaches,2014,November
BPEL,2013,June
BPEL,2012,June
BPEL,2012,July
cooperative,2015,June
Mutual Information,2012,
Mutual Information,2011,March
théorie des files d'attente,2011,
current development processes,2013,09
current development processes,2013,September
current development processes,2013,February
current development processes,2012,09
current development processes,2012,September
current development processes,2012,February
Parametric audio coding,2011,May
Parametric audio coding,2013,04
beam compbing,2011,May
Compute-and-forward,2012,
including synchronised audio rigs,2013,01
including synchronised audio rigs,2013,August
including synchronised audio rigs,2012,01
including synchronised audio rigs,2012,August
appraisal,2013,
aggregation of relations,2012,May
index terms — non,2014,
Kullback-Leibler divergence,2011,
visual,2011,04
Fiber laser,2014,December
noisy transmission channels,2011,
Local visual features,2014,October
Rendering,2013,March
source separation context show,2015,
music signal processing,2011,01
paper gaussian multiaccess channel,2012,08
.. • f1 )(,2012,September
keypoints,2015,October
keypoints,2015,December
low- complexity,2013,June
statistical signal processing,2013,
internet measurement campaign involving,2013,December
electroencephalography (EEG),2013,December
Spatial relations,2016,
Spatial relations,2011,June
Spatial relations,2014,October
Multi-organ segmentation,2015,
information security,2014,April
information security,2014,September
information security,2013,April
information security,2013,September
information security,2015,April
thus shedding light,2014,November
traduction,2015,May
quantum information,2015,01
reconstruction,2012,October
Collaboration processes,2013,February
gpac,2012,October
gpac,2011,November
different physical impairments,2013,09
fully effective manner,2011,
memex,2011,January
ATL,2015,July
ATL,2014,September
form infx n n,2014,December
— model transformations,2014,August
viewpoint knowledge transfer,2014,September
undertaking postgraduate study,2016,02
homodyne detection,2012,10
homodyne detection,2012,October
probability,2012,March
probability,2011,
probability,2015,July
sup-norm,2011,March
Index Terms—Indoor Localization,2012,September
Longitudinal growth quantification,2013,04
Brain-computer,2015,December
maintained efficiently within hundred,2015,January
r performing query evaluation,2015,June
Sinkhorn distance,2015,September
l p norm vary,2011,
Time--frequency analysis,2014,February
Interactivity,2011,February
Interactivity,2011,November
compatible dual complex form,2013,
Input and Interaction Technologies,2013,April
two human subjects,2011,August
vision,2011,12
vision,2011,June
// hal,2016,09
time domain approach,2013,October
generators,2014,January
wireless communication,2012,November
wireless communication,2011,February
wireless communication,2013,February
wireless communication,2013,February
wireless communication,2012,April
nonnegative ma- trix/tensor factorization,2013,
electromagnetic wave exposure study,2012,October
Human Papillomavirus,2014,01
Markov theory,2011,
high dynamic range analog,2014,June
CS = conscious state,2014,April
study include public administration,2016,02
existing data dissemination schemes,2015,October
sparse,2013,
sparse,2013,June
scanning,2014,01
Laser,2011,September
Seismic monitoring and test-ban treaty verification,2014,May
nearly lossless jpeg compression,2013,01
rate-,2014,03
Emotional expressions,2011,September
User-Centric Identity,2014,August
User-Centric Identity,2014,July
≤ max,2013,12
autotagging,2011,October
global illumination,2015,July
global illumination,2011,
synthesize virtual agent,2013,August
Metamers,2012,February
user interfaces,2011,
Wire-,2016,03
Assignment problems,2012,09
Challenge,2014,03
web permeates many aspects,2011,
stochastic optimization literature,2011,December
Flip-flop optique,2011,July
Generation—Line and curve generation I35 [Computer Graphics]: Computational Geometry and Object,2012,09
Gaussian Processes,2011,June
Gaussian Processes,2011,July
mixers,2012,May
[math]/Statistics [mathST],2015,01
random process,2014,April
random process,2014,07
MMSE,2013,May
shading cost per pixel,2013,March
probabilistic experts,2013,02
external optical feedback,2011,09
Paths,2013,April
Purpose and Application-Based Systems]: Real-time,2015,November
timodal behavior,2014,February
preprocessing,2013,October
Change criterion matrix,2015,March
Change criterion matrix,2015,03
Localization,2016,03
Localization,2014,January
social Web,2014,October
parasitic extraction,2014,June
speed optical communication systems,2014,12
Kolmogorov-Smirnov Analysis (KSA),2012,October
Total efficiency,2011,March
crawling,2013,October
crawling,2012,April
popular p2p applications nowadays,2013,June
popular p2p applications nowadays,2013,01
Identifying Codes,2016,May
phase recovery,2016,March
Session types,2013,June
Session types,2012,June
primary user protection,2015,August
coverage hole,2014,01
results show significant improvements,2013,April
controlling traffic lights,2012,June
controlling traffic lights,2012,September
boundary elements,2013,December
boundary elements,2013,11
repetition rate exhibits,2016,04
System on a Chip (SoC) · Architecture exploration · Platform-Based,2013,September
probability of false alarm,2015,
TEP,2011,July
mu- sic signal representation,2011,01
Communications,2015,October
Communications,2015,September
and,2013,September
and,2015,12
and,2015,October
and,2015,August
and,2011,February
Media,2011,February
Index Terms—audio source separation,2016,07
Concentration,2011,May
1 ≤ w,2013,12
Competence,2011,September
coherent detection,2015,June
picasa background upload option,2012,September
sity constraint harder,2011,
H23 [Database Management]: Logical Design,2011,June
H23 [Database Management]: Logical Design,2011,12
NFV,2016,April
NFV,2016,April
Véhicule électrique,2011,September
Véhicule électrique,2011,September
maximal design rate,2015,November
Mixed Media,2014,July
Independent Sets,2015,February
"amc ), electromagnetic band",2016,December
"amc ), electromagnetic band",2016,August
"amc ), electromagnetic band",2016,04
"amc ), electromagnetic band",2015,December
"amc ), electromagnetic band",2015,August
"amc ), electromagnetic band",2015,04
Fisherdistribution,2013,June
Ubiquitous Access,2013,July
C3 [Computer Systems Organization]:,2014,
extensive experimental results show,2015,January
Handwritten word recognition ·,2015,08
BCDL,2013,09
BCDL,2013,September
BCDL,2013,February
BCDL,2012,09
BCDL,2012,September
BCDL,2012,February
traiter les changements possible,2013,
Delta-Sigma Receiver,2013,May
vertically-related markets,2011,December
estimate volumetric breast density,2012,February
delay-insensitive,2011,December
vegetative state,2014,April
reporting preliminary implementation results,2012,September
Synchronization,2015,June
Synchronization,2012,October
Synchronization,2015,July
3 db effective bandwidths,2012,10
linear codes,2013,12
linear codes,2016,January
linear codes,2016,02
linear codes,2015,January
linear codes,2015,02
CPA,2016,July
CPA,2014,
unsupervised feature learning,2016,March
identité numérique,2012,September
identité numérique,2011,May
leakage samples must,2014,
dictionary learn- ing,2013,
right preprocessing,2008,January
right preprocessing,2012,January
channel availability probability determined,2011,June
eligibility,2012,June
component separation framework adopted,2014,December
systems-on-chip,2012,January
rotating substitution boxes masking,2013,
free reverberant speech signals,2016,
th order exponential decay,2014,01
summons,2012,December
resistive high impedance surface,2016,December
resistive high impedance surface,2016,August
resistive high impedance surface,2016,04
resistive high impedance surface,2015,December
resistive high impedance surface,2015,August
resistive high impedance surface,2015,04
ones obtained using,2011,August
leakage in distance,2012,February
BML,2011,October
BML,2011,October
BML,2011,May
BML,2012,October
BML,2011,
AES,2012,
deterministic epidemic model,2014,01
Late Reverberation Estimation,2014,May
Throughput,2015,June
Throughput,2012,September
highly non trivial task,2012,08
tion,2011,11
tion,2011,10
tion,2011,October
CR Categories: Computing Methodologies [Computer Graph-,2013,11
Hellinger differentiability,2011,01
Hellinger differentiability,2011,January
General Terms,2011,
General Terms,2012,May
General Terms,2014,June
General Terms,2011,March
General Terms,2011,June
General Terms,2013,April
General Terms,2014,May
General Terms,2012,October
General Terms,2012,May
General Terms,2012,June
General Terms,2012,March
General Terms,2011,February
General Terms,2011,October
General Terms,2014,
General Terms,2014,February
General Terms,2012,April
video inpainting,2014,October
shutter,2016,March
active coolers could satisfy,2011,August
st 65nm cmos models,2013,July
music information retrieval,2011,May
music information retrieval,2011,May
music information retrieval,2011,10
music information retrieval,2011,01
fenton – wilkinson approach,2011,12
cell interference coordination functions,2016,May
3DTV,2013,
functional connectivity,2013,01
dependent lower bounds,2014,
P2P,2012,September
explanatory rela-,2013,September
serviceoriented components,2011,April
POMDP,2015,09
POMDP,2011,
POMDP,2012,
POMDP,2013,05
domization dramatically improve performance,2015,April
Aggregation,2011,May
Aggregation,2012,May
High-resolution,2016,05
High-resolution,2015,05
multilevel splitting AMS Codes: MSC 65C35,2015,12
Scavenger protocol,2014,06
Comparison of distributions,2015,July
canonical correlation analysis,2014,September
past 15 years,2011,
ing—Version control,2013,September
hierarchical data structure,2015,August
Wiretap codes,2016,10
Wiretap codes,2016,January
Wiretap codes,2013,10
Wiretap codes,2013,January
single radio frequency chain,2013,05
flow-level dynamics,2012,October
Differential architecture,2014,June
residual pump photons collected,1886,
Proximity,2012,May
Fragment-based trackers,2012,March
wireless mesh networks,2013,March
wireless mesh networks,2013,March
217 ghz join smoothly,2011,February
Power Analysis (VPA),2012,
Concentration inequality,2012,
† Corresponding author,2011,11
less sensor networks,2012,December
High Dimension,2013,June
audio signal processing,2012,July
audio signal processing,2011,October
augmented,2011,07
augmented,2014,May
flooding,2011,June
Index Terms— FPGA architecture,2012,June
general inner bound,2013,February
Probabilistic XML,2011,March
Probabilistic XML,2012,June
Probabilistic XML,2012,April
power constraint p,2015,11
audio inpainting,2011,
covariance estimation,2015,
wrinkles,2015,01
extensive simulation studies show,2011,June
coverage holes may appear,2011,
agent,2012,October
agent,2013,September
Non Lo-,2013,
consumption,2015,January
consumption,2013,September
Contrast enhancement,2016,02
multiple hypothesis tracking,2013,09
video surveillance,2013,July
deutch () ·,2015,11
deutch () ·,2015,November
Hardware-Software Co-Design,2014,September
integrate data,2014,September
Source localization,2014,01
H52 [Information Interfaces and Presentation]: User Interfaces—Evaluation/ methodology,2015,01
classical generalized wiener filtering,2014,01
engagement,2014,October
engagement,2012,October
simplification,2013,11
path method used commonly,2015,October
path method used commonly,2015,May
linear unwrapping,2015,August
spiral-shaped printed,2013,April
Newton&apos;s method,2014,01
Pseudo-metric,2015,01
3d reconstruction benefits,1981,
data generating probability distribution,2014,June
query answering using views,2012,August
countermeasure,2014,February
théorie du vote,2015,February
non- negative matrix factorization,2013,
usage,2011,September
blog,2013,May
blog,2013,March
Index Terms—network coding,2013,January
NTF,2013,September
NTF,2012,March
NTF,2011,07
NTF,2011,July
NTF,2013,May
NTF,2011,August
NTF,2011,08
NTF,2012,August
NTF,2012,08
Traces,2013,April
Lattice codes,2016,10
Lattice codes,2016,January
Lattice codes,2013,10
Lattice codes,2013,January
quot ;) deployment,2013,May
hardware redundancy strategies,2013,October
traçon,2012,
SRAM-based FPGA,2012,December
Rule mining · Inductive logic programming ·,2015,July
