key,value,date
Future Internet,0,3/01/10
Future Internet,0,4/01/10
Future Internet,0,5/01/10
Future Internet,0,6/01/10
Future Internet,0,7/01/10
Future Internet,0,8/01/10
Future Internet,0,9/01/10
Future Internet,0,10/01/10
Future Internet,0,11/01/10
Future Internet,0,12/01/10
Future Internet,0,1/01/11
Future Internet,0,2/01/11
Future Internet,0,3/01/11
Future Internet,0,4/01/11
Future Internet,0,5/01/11
Future Internet,0,6/01/11
Future Internet,0,7/01/11
Future Internet,0,8/01/11
Future Internet,0,9/01/11
Future Internet,0,10/01/11
Future Internet,0,11/01/11
Future Internet,0,12/01/11
Future Internet,0,1/01/12
Future Internet,0,2/01/12
Future Internet,0,3/01/12
Future Internet,0,4/01/12
Future Internet,0,5/01/12
Future Internet,0,6/01/12
Future Internet,0,7/01/12
Future Internet,0,8/01/12
Future Internet,0,9/01/12
Future Internet,0,10/01/12
Future Internet,0,11/01/12
Future Internet,11,12/01/12
Future Internet,0,1/01/13
Future Internet,0,2/01/13
Future Internet,0,3/01/13
Future Internet,0,4/01/13
Future Internet,0,5/01/13
Future Internet,0,6/01/13
Future Internet,0,7/01/13
Future Internet,0,8/01/13
Future Internet,0,9/01/13
Future Internet,0,10/01/13
Future Internet,0,11/01/13
Future Internet,12,12/01/13
Future Internet,0,1/01/14
Future Internet,0,2/01/14
Future Internet,0,3/01/14
Future Internet,0,4/01/14
Future Internet,0,5/01/14
Future Internet,0,6/01/14
Future Internet,0,7/01/14
Future Internet,0,8/01/14
Future Internet,0,9/01/14
Future Internet,0,10/01/14
Future Internet,0,11/01/14
Future Internet,8,12/01/14
Future Internet,0,1/01/15
Future Internet,0,2/01/15
Future Internet,0,3/01/15
Future Internet,0,4/01/15
Future Internet,0,5/01/15
Future Internet,0,6/01/15
Future Internet,0,7/01/15
Future Internet,0,8/01/15
Future Internet,0,9/01/15
Future Internet,0,10/01/15
Future Internet,0,11/01/15
Future Internet,8,12/01/15
Future Internet,0,1/01/16
Future Internet,0,2/01/16
LISP,0,3/01/10
LISP,0,4/01/10
LISP,0,5/01/10
LISP,0,6/01/10
LISP,0,7/01/10
LISP,0,8/01/10
LISP,0,9/01/10
LISP,0,10/01/10
LISP,0,11/01/10
LISP,0,12/01/10
LISP,0,1/01/11
LISP,0,2/01/11
LISP,0,3/01/11
LISP,0,4/01/11
LISP,0,5/01/11
LISP,0,6/01/11
LISP,0,7/01/11
LISP,0,8/01/11
LISP,0,9/01/11
LISP,0,10/01/11
LISP,0,11/01/11
LISP,0,12/01/11
LISP,0,1/01/12
LISP,0,2/01/12
LISP,0,3/01/12
LISP,0,4/01/12
LISP,0,5/01/12
LISP,0,6/01/12
LISP,0,7/01/12
LISP,0,8/01/12
LISP,0,9/01/12
LISP,0,10/01/12
LISP,0,11/01/12
LISP,18,12/01/12
LISP,0,1/01/13
LISP,0,2/01/13
LISP,0,3/01/13
LISP,0,4/01/13
LISP,0,5/01/13
LISP,0,6/01/13
LISP,0,7/01/13
LISP,0,8/01/13
LISP,0,9/01/13
LISP,0,10/01/13
LISP,0,11/01/13
LISP,35,12/01/13
LISP,0,1/01/14
LISP,0,2/01/14
LISP,0,3/01/14
LISP,0,4/01/14
LISP,0,5/01/14
LISP,0,6/01/14
LISP,0,7/01/14
LISP,0,8/01/14
LISP,0,9/01/14
LISP,0,10/01/14
LISP,0,11/01/14
LISP,29,12/01/14
LISP,0,1/01/15
LISP,0,2/01/15
LISP,0,3/01/15
LISP,0,4/01/15
LISP,0,5/01/15
LISP,0,6/01/15
LISP,0,7/01/15
LISP,0,8/01/15
LISP,0,9/01/15
LISP,0,10/01/15
LISP,0,11/01/15
LISP,29,12/01/15
LISP,0,1/01/16
LISP,0,2/01/16
Keywords,1,3/01/10
Keywords,0,4/01/10
Keywords,0,5/01/10
Keywords,0,6/01/10
Keywords,0,7/01/10
Keywords,0,8/01/10
Keywords,0,9/01/10
Keywords,0,10/01/10
Keywords,0,11/01/10
Keywords,0,12/01/10
Keywords,0,1/01/11
Keywords,0,2/01/11
Keywords,0,3/01/11
Keywords,0,4/01/11
Keywords,0,5/01/11
Keywords,0,6/01/11
Keywords,0,7/01/11
Keywords,0,8/01/11
Keywords,0,9/01/11
Keywords,0,10/01/11
Keywords,0,11/01/11
Keywords,5,12/01/11
Keywords,0,1/01/12
Keywords,0,2/01/12
Keywords,0,3/01/12
Keywords,0,4/01/12
Keywords,0,5/01/12
Keywords,0,6/01/12
Keywords,0,7/01/12
Keywords,0,8/01/12
Keywords,0,9/01/12
Keywords,0,10/01/12
Keywords,0,11/01/12
Keywords,8,12/01/12
Keywords,0,1/01/13
Keywords,0,2/01/13
Keywords,0,3/01/13
Keywords,0,4/01/13
Keywords,0,5/01/13
Keywords,0,6/01/13
Keywords,0,7/01/13
Keywords,0,8/01/13
Keywords,0,9/01/13
Keywords,0,10/01/13
Keywords,0,11/01/13
Keywords,3,12/01/13
Keywords,0,1/01/14
Keywords,0,2/01/14
Keywords,0,3/01/14
Keywords,0,4/01/14
Keywords,0,5/01/14
Keywords,0,6/01/14
Keywords,0,7/01/14
Keywords,0,8/01/14
Keywords,0,9/01/14
Keywords,0,10/01/14
Keywords,0,11/01/14
Keywords,6,12/01/14
Keywords,0,1/01/15
Keywords,0,2/01/15
Keywords,0,3/01/15
Keywords,0,4/01/15
Keywords,0,5/01/15
Keywords,0,6/01/15
Keywords,0,7/01/15
Keywords,0,8/01/15
Keywords,0,9/01/15
Keywords,0,10/01/15
Keywords,0,11/01/15
Keywords,1,12/01/15
Keywords,0,1/01/16
Keywords,0,2/01/16
multidisciplinary open access archive,0,3/01/10
multidisciplinary open access archive,0,4/01/10
multidisciplinary open access archive,0,5/01/10
multidisciplinary open access archive,0,6/01/10
multidisciplinary open access archive,0,7/01/10
multidisciplinary open access archive,0,8/01/10
multidisciplinary open access archive,0,9/01/10
multidisciplinary open access archive,0,10/01/10
multidisciplinary open access archive,0,11/01/10
multidisciplinary open access archive,0,12/01/10
multidisciplinary open access archive,1,1/01/11
multidisciplinary open access archive,0,2/01/11
multidisciplinary open access archive,0,3/01/11
multidisciplinary open access archive,0,4/01/11
multidisciplinary open access archive,0,5/01/11
multidisciplinary open access archive,0,6/01/11
multidisciplinary open access archive,0,7/01/11
multidisciplinary open access archive,0,8/01/11
multidisciplinary open access archive,0,9/01/11
multidisciplinary open access archive,0,10/01/11
multidisciplinary open access archive,0,11/01/11
multidisciplinary open access archive,3,12/01/11
multidisciplinary open access archive,0,1/01/12
multidisciplinary open access archive,0,2/01/12
multidisciplinary open access archive,0,3/01/12
multidisciplinary open access archive,1,4/01/12
multidisciplinary open access archive,0,5/01/12
multidisciplinary open access archive,0,6/01/12
multidisciplinary open access archive,0,7/01/12
multidisciplinary open access archive,0,8/01/12
multidisciplinary open access archive,0,9/01/12
multidisciplinary open access archive,1,10/01/12
multidisciplinary open access archive,1,11/01/12
multidisciplinary open access archive,6,12/01/12
multidisciplinary open access archive,1,1/01/13
multidisciplinary open access archive,0,2/01/13
multidisciplinary open access archive,0,3/01/13
multidisciplinary open access archive,0,4/01/13
multidisciplinary open access archive,0,5/01/13
multidisciplinary open access archive,0,6/01/13
multidisciplinary open access archive,0,7/01/13
multidisciplinary open access archive,0,8/01/13
multidisciplinary open access archive,0,9/01/13
multidisciplinary open access archive,0,10/01/13
multidisciplinary open access archive,0,11/01/13
multidisciplinary open access archive,2,12/01/13
multidisciplinary open access archive,1,1/01/14
multidisciplinary open access archive,0,2/01/14
multidisciplinary open access archive,0,3/01/14
multidisciplinary open access archive,0,4/01/14
multidisciplinary open access archive,0,5/01/14
multidisciplinary open access archive,0,6/01/14
